sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,AMBSL,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXMMTH,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,PPIFGS,PPIFCG,PPIITM,PPICRM,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,VXOCLSx
01/01/1959,0.16665450991261727,0.18715729093112257,0.1219943030482391,0.21241314152500101,0.040575058082207634,0.16652190549636686,0.17309094179821138,0.16300967686847007,0.2442835282601391,0.12326156452362086,0.3005594301579957,0.03436714325742572,0.15381223201578795,0.06848444855043773,0.22469999781759908,0.15060765138830035,0.12821374558897664,0.30798727395999553,0.8723687190351403,0.4343636503145942,0.4336103529283959,0.4545454545454545,0.36950904392764855,0.39531368102796677,0.2613968111385583,0.15238825591586327,0.16910709158771173,0.11781226903178123,0.4328808446455506,0.3747143673236218,0.7469194689561969,0.6038894575230297,0.38699650304364724,0.7669838346633927,0.7092976045473,0.8651079136690647,0.2788273669569825,0.40363023952095806,0.4279088258680095,0.34319549427472346,0.2876385743235189,0.35237308043676857,0.9533169533169532,0.1515151515151515,0.9514563106796117,0.663855421686747,0.884910485933504,0.764505119453925,0.4234995773457312,0.5397815912636506,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.04906166259250242,0.28815794575918074,0.03614778461642859,0.04821926144210031,0.41333333333333355,0.0466463093608508,0.02428154827320636,0.20170740216298305,0.008006934323876534,0.00454471888433128,0.1108118900935413,0.016647662485746867,0.004884604450417388,0.01797290083553247,0.016642550220032505,0.024818956937001424,0.020073788733539863,0.399742394835821,0.16428676979728482,0.12664214398318446,0.17761692650334074,0.17249846531614488,0.1970284237726098,0.19614921780986766,0.22142390594382755,0.18056562726613484,0.15715344699777611,0.18906455862977603,0.72,0.8866459627329193,0.8934817170111288,0.8711111111111111,0.8278775079197466,0.7770270270270271,0.6591666666666667,0.5003885003885004,0.6414584983082572,0.8370142180094786,0.9912432774898009,0.438557424044639,0.004762844874389216,0.1380539989811513,0.12961210974456008,0.1243680485338726,0.08607935440484198,0.0006106404091290735,0.08383422967415374,0.09921995265384267,0.3005422153369481,0.10736486081735533,0.03484159763723206,0.14845670284732343,0.25949878738884397,0.060061127301158576,0.09909987882984247,0.11140679265707457,0.10616570847616219,0.10778756431499083,0.3774104897663664,0.12842847753843875,0.05831233658188732,0.0,0.0,0.0,0.7895454545454546,0.020975039001560062,0.01984236513632042,0.013792499851325558,0.027285415212840194,0.2517633898202597
02/01/1959,0.16736932705072285,0.18788084839291783,0.12374223142941695,0.2140085954713282,0.04087282398164161,0.17074670205200188,0.17613338646368365,0.16486467416369174,0.24645662492809223,0.12416518015714714,0.30392572056587563,0.03546506197713051,0.1601254070444428,0.0736650389336149,0.2295428493634144,0.15432164794069125,0.12774067931586217,0.3031860537426621,0.8862635113049281,0.43252851808276643,0.43236104887223153,0.44318181818181823,0.34883720930232553,0.3902746283698665,0.2602739726027397,0.13935144609991235,0.15503875968992248,0.10746489283074649,0.4208144796380091,0.37619251642387885,0.7506558549964226,0.5963834868645514,0.38531278331822305,0.7729691016983835,0.7173365814047908,0.8675982291090204,0.2797628903533464,0.40512724550898205,0.4289524251258945,0.34517349225819305,0.28787698176183096,0.3528516117805716,0.9508599508599509,0.18181818181818188,0.953883495145631,0.6678714859437751,0.8746803069053709,0.7935153583617748,0.42603550295857984,0.530421216848674,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.05134196877178121,0.28815794575918074,0.03704420275336749,0.04838527740017259,0.38578366399999986,0.046821803376504864,0.02437673609608778,0.20256931190871968,0.008040911728657913,0.004432238061606345,0.110725913477921,0.016647662485746867,0.004962137854392267,0.01820404027557678,0.01704549567076303,0.02440220242502096,0.01971519619078602,0.41166986215515006,0.16394926652327554,0.12401471361008932,0.17538975501113582,0.16513198281154085,0.1996124031007752,0.20697954271961494,0.21815806662312215,0.17621464829586658,0.1586360266864344,0.19038208168642948,0.722,0.8757763975155279,0.9077901430842608,0.9051851851851851,0.8278775079197466,0.7760617760617761,0.6649999999999999,0.5058275058275058,0.6414584983082572,0.8372748815165876,0.9912432774898009,0.43927410478896306,0.0066630472336015045,0.13856342333163527,0.12961210974456008,0.1248736097067745,0.08540685944855413,0.0006106404091290735,0.08383422967415374,0.0991768322919766,0.29976762199845086,0.10782565421142123,0.035072336694432264,0.14845670284732343,0.25949878738884397,0.06041651858696426,0.09909987882984247,0.11140679265707457,0.10616570847616219,0.10792321928626107,0.3776596158786756,0.12850253172759168,0.05846446398859044,0.0,0.00044642857142855596,0.0005685048322910669,0.7895454545454546,0.02106084243369735,0.01984236513632042,0.013792499851325558,0.027041172365666433,0.2517633898202597
03/01/1959,0.1684488468103109,0.18926694039804376,0.1253606836342113,0.21324706947964078,0.04121444690024194,0.1739150535550753,0.17751603061897903,0.165924088274965,0.24645662492809223,0.1275512992158256,0.3022430918225689,0.03636283926355577,0.1654682354999244,0.07830099863622367,0.23377255017703424,0.15754092493016328,0.12892334499864838,0.3119893302257705,0.8977999261473105,0.4352076832574557,0.4363194416154045,0.40909090909090906,0.3436692506459948,0.36633912824389014,0.24432966539411635,0.13201139351446098,0.1507321274763135,0.09977827050997784,0.3815987933634993,0.3785418451870894,0.7577708879879164,0.5962981917434323,0.3895868410827613,0.7803355842029875,0.7275680064961428,0.8700885445489761,0.28100473556975863,0.4073353293413174,0.43049297641134376,0.348493703159017,0.2890690189533913,0.3535476573715578,0.9582309582309582,0.24242424242424243,0.9563106796116504,0.648995983935743,0.833759590792839,0.6979522184300342,0.4218089602704987,0.577223088923557,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.052493099977656006,0.28815794575918074,0.03798107297356902,0.04863430133444069,0.3720088306666667,0.0469270997858973,0.024506537672744265,0.20384165486671182,0.00804115617041893,0.00438322604167291,0.11065253416861871,0.016590649942987458,0.005013826790375519,0.018410706127851697,0.017233429689515946,0.025083718626965484,0.02025493342008562,0.3984491689488266,0.17105105431066758,0.14345769837099318,0.18040089086859687,0.1712707182320442,0.1996124031007752,0.21119133574007223,0.22011757021554545,0.1783901377810007,0.15789473684210525,0.18774703557312253,0.6659999999999999,0.8338509316770186,0.848966613672496,0.8607407407407407,0.791974656810982,0.7432432432432432,0.6333333333333333,0.47397047397047387,0.6414584983082572,0.8395260663507109,0.9912432774898009,0.4401443599784995,0.005429149597749372,0.13856342333163527,0.1291390728476821,0.1248736097067745,0.08574310692669805,0.00038165025570567265,0.08509965200885795,0.09904747120637836,0.29976762199845086,0.10874724099955305,0.03530307575163248,0.14791290540099628,0.2611156022635408,0.06041651858696426,0.09909987882984247,0.11140679265707457,0.10616570847616219,0.10802980533511623,0.37818900886733253,0.12837293689657406,0.05865462324696935,0.0010214504596527119,0.0,0.0017055144968732144,0.7895454545454546,0.021170046801872074,0.019940503572852455,0.013849725485267765,0.02637822749476622,0.2517633898202597
04/01/1959,0.16947730820289136,0.1905048338868984,0.1247410476472329,0.2175454100646232,0.04123983778381711,0.17866708898237982,0.18083458576629546,0.16910437580977175,0.25116482766584036,0.12868033084432443,0.3081338418060422,0.03855772364852114,0.17129669280376403,0.08198231490035636,0.24262166625270332,0.16199751508843238,0.12963294440832013,0.3103883295335182,0.9147046059758205,0.4369405084659062,0.43972107929006937,0.36363636363636365,0.3333333333333333,0.37515747039556563,0.20862339995508647,0.11327782646801052,0.11570485213896067,0.09253510716925352,0.3604826546003017,0.3807126535275635,0.7657206455203117,0.5972364380757421,0.3989120580235721,0.7867812563945161,0.7366626065773446,0.8720254565578306,0.28186574825313776,0.4084955089820359,0.4322820037105751,0.3460661601793043,0.29014185242579565,0.3539826858659242,0.9606879606879607,0.2727272727272727,0.9587378640776699,0.6369477911646587,0.6930946291560104,0.6604095563139932,0.4497041420118343,0.5990639625585024,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.05307337047325891,0.28815794575918074,0.03860969833406847,0.04928729743240457,0.3720088306666667,0.0469270997858973,0.024584418618738158,0.2043957397032568,0.008068778089413864,0.004470319343281246,0.11070103379794298,0.016875712656784492,0.005091360194350398,0.018601349101296388,0.017302260428832948,0.025544600087273297,0.020672675248242157,0.39061070500627776,0.1743943041704163,0.15186547556489755,0.18429844097995543,0.18047882136279927,0.208656330749354,0.21780986762936225,0.2286087524493795,0.18781725888324874,0.1653076352853966,0.1884057971014493,0.6479999999999999,0.8322981366459627,0.8457869634340223,0.8533333333333333,0.7888067581837381,0.7403474903474904,0.6283333333333333,0.4623154623154623,0.6414584983082572,0.8394786729857822,0.9912432774898009,0.4411169981315109,0.003899116529292729,0.13856342333163527,0.12961210974456008,0.1248736097067745,0.08641560188298587,0.00038165025570567265,0.08446694084150586,0.09909059156824446,0.3005422153369481,0.10920803439361895,0.03530307575163248,0.14791290540099628,0.2611156022635408,0.060771909872769925,0.09953262939241819,0.11140679265707457,0.10616570847616219,0.10835925312248675,0.3786171943728639,0.12848401818030342,0.05905395768956502,0.0015321756894790817,0.0008928571428571397,0.002274019329164309,0.7895454545454546,0.02122464898595944,0.02028398810071457,0.014001205104526548,0.026448011165387298,0.2517633898202597
05/01/1959,0.1704984755430422,0.1918386205333403,0.12679416987274342,0.2190629290117272,0.04156299461134222,0.18209905992128794,0.18277049675831653,0.1712252492333053,0.2526139055301097,0.13229381755161146,0.3081338418060422,0.04135207927888089,0.17688096899811032,0.08634463947912542,0.2452675675479063,0.16496788951194527,0.13223572216580334,0.3035860811832973,0.9250093989261239,0.4359110440431736,0.43925259026900776,0.3522727272727272,0.3281653746770025,0.37137818090199043,0.22456770716370988,0.105170902716915,0.11053689348262992,0.08425720620842572,0.36349924585218707,0.3823479005998286,0.7700532633754671,0.6013306038894576,0.3991710918274835,0.7919991815019439,0.7434023548518066,0.8746541228555617,0.28285922442626754,0.4101796407185629,0.43428637688841765,0.349990045789369,0.29109548217904396,0.35446121720972723,0.9656019656019655,0.2727272727272727,0.9635922330097088,0.6000000000000001,0.6547314578005116,0.5989761092150171,0.40828402366863903,0.6115444617784712,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.050836976625524825,0.28815794575918074,0.03849238729515149,0.049569524558287135,0.35823399600000005,0.04727808781720543,0.024766140826057232,0.2054628660551212,0.008088333430295231,0.004425891181327196,0.11064592058280177,0.01727480045610034,0.005168893598325277,0.018828848879569867,0.01758339239402789,0.025966257593512357,0.02110520439774937,0.3838496475375954,0.1770965665920762,0.1487125591171834,0.19209354120267258,0.17372621240024555,0.21253229974160207,0.23225030084235862,0.2436316133246244,0.20159535895576502,0.17568569310600446,0.19499341238471676,0.688,0.8245341614906833,0.8648648648648649,0.8977777777777778,0.8194297782470961,0.7644787644787645,0.645,0.4747474747474747,0.6414584983082572,0.8395260663507109,0.9912432774898009,0.44060508331413645,0.0037510488129904596,0.1390728476821192,0.1291390728476821,0.12588473205257833,0.08574310692669805,0.00038165025570567265,0.08509965200885795,0.09934931373944089,0.3013168086754454,0.10920803439361895,0.03553381480883269,0.14845670284732343,0.26192400970088925,0.06112730115857559,0.09996537995499394,0.11140679265707457,0.10616570847616219,0.10843677024892685,0.3793256467547431,0.12828036916013294,0.05923460898502496,0.0020429009193054237,0.0013392857142856956,0.002274019329164309,0.8481818181818181,0.02138065522620905,0.02069187597755083,0.014182980647637086,0.02606420097697139,0.2517633898202597
06/01/1959,0.17106741163255484,0.19244013215820627,0.127432302456348,0.2190366237720763,0.04194154973435097,0.182363663011734,0.18442925139545613,0.17281539300070867,0.2511658679227422,0.13364826517508288,0.30560938223044887,0.04344784600165069,0.17542408245303615,0.08538999604064933,0.2443769401284291,0.1652157635549046,0.13318185471203234,0.3035860811832973,0.9233661208038119,0.43655046293928085,0.44027104466262,0.34090909090909083,0.3333333333333333,0.382212144116906,0.21513586346283406,0.10495179666958808,0.11771461383864486,0.08026607538802662,0.3815987933634993,0.3832762067980577,0.7733921615390731,0.6055953599454111,0.4008548115529077,0.795426642111725,0.7473812423873324,0.8771444382955174,0.28324005695930066,0.41085329341317367,0.43536310628147357,0.35072858399748263,0.29192990821313625,0.35402618871536085,0.9631449631449632,0.2727272727272727,0.9611650485436893,0.6020080321285141,0.6393861892583121,0.5784982935153584,0.43448858833474213,0.5990639625585024,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.05321451735327172,0.28815794575918074,0.03878687844807111,0.05006757243250399,0.3720088306666667,0.0474535818328595,0.024930556156488783,0.20630425414024506,0.00808173350274777,0.004391335944251824,0.11055584984262815,0.0177309007981756,0.005246427002300158,0.01910839163764699,0.01803836771859251,0.025721107880582673,0.020979512166268643,0.39133296476638973,0.17231387815675006,0.1744613767735155,0.20712694877505566,0.19643953345610804,0.22480620155038758,0.23886883273164866,0.2534291312867407,0.2037708484408992,0.18235730170496667,0.20026350461133072,0.6439999999999999,0.8059006211180124,0.8171701112877584,0.8414814814814815,0.7835269271383316,0.7200772200772201,0.6116666666666666,0.4428904428904428,0.6414584983082572,0.8368483412322274,0.9912432774898009,0.4400931684967621,0.002763930704308748,0.13856342333163527,0.12961210974456008,0.12588473205257833,0.08507061197041023,0.00038165025570567265,0.08541600759253401,0.09965115627250343,0.3020914020139427,0.10966882778768486,0.0357645538660329,0.14845670284732343,0.26192400970088925,0.06112730115857559,0.10039813051756966,0.11185783230345947,0.10661556317309509,0.10891156264837261,0.3801742325747962,0.12869692397411805,0.05965295935345852,0.0025536261491317797,0.002232142857142849,0.002842524161455362,0.7895454545454546,0.021521060842433697,0.021314441684300918,0.014497160598692339,0.025366364270760642,0.2517633898202597
07/01/1959,0.17093611868882114,0.1923006512017156,0.12684965966262207,0.2217015872381968,0.041927700149351065,0.17681880196770272,0.18470640775033753,0.17467039029593034,0.25515005185680656,0.13726077605555187,0.3085552736828189,0.04364703438048603,0.16231119242382552,0.07243852008270645,0.24578199061983308,0.16125389295955436,0.13554718607760477,0.2955828595814591,0.9034102762336021,0.43821934625812065,0.44137097540772124,0.3522727272727272,0.31782945736434104,0.399596875787352,0.23399955086458568,0.09684487291849256,0.11168532873959232,0.07243163340724317,0.3906485671191554,0.38416166809483004,0.7760553303124256,0.6143807574206755,0.3991710918274835,0.7989564149785144,0.7520097442143726,0.8788046485888212,0.28371195814153727,0.41122754491017965,0.43630731513384574,0.350966200638354,0.29264513052807245,0.35533127419846,0.9533169533169532,0.24242424242424243,0.953883495145631,0.6196787148594378,0.6828644501278773,0.6262798634812287,0.4471682163989856,0.5741029641185648,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.04915262391740062,0.28815794575918074,0.03847782454280188,0.05045494299755222,0.41333333333333355,0.047629075848513565,0.025025743979370203,0.20679677399495172,0.008100066634824054,0.004472082365581009,0.11061757664358629,0.018072976054732043,0.00529811593828341,0.01939349847636228,0.018836754684472982,0.026838990571542043,0.021896326090010427,0.3703291202474224,0.1777683007818408,0.1786652653704677,0.21547884187082403,0.19582565991405773,0.24418604651162787,0.2581227436823105,0.2586544741998694,0.20812182741116753,0.18309859154929575,0.20289855072463772,0.6579999999999999,0.7919254658385093,0.8521462639109698,0.8770370370370371,0.7835269271383316,0.7181467181467182,0.6058333333333333,0.4397824397824397,0.6414584983082572,0.8363981042654027,0.9912432774898009,0.4398884025698124,0.0023444055081190407,0.1380539989811513,0.1291390728476821,0.12537917087967643,0.08406186953597848,0.00038165025570567265,0.08446694084150586,0.09982363771996774,0.30286599535244,0.11012962118175074,0.0357645538660329,0.14845670284732343,0.2627324171382377,0.06148269244438127,0.10039813051756966,0.1123088719498444,0.10706541787002796,0.10925070007654815,0.380384432732057,0.12888205944700032,0.060061801758973146,0.0025536261491317797,0.002678571428571405,0.002842524161455362,0.7895454545454546,0.021614664586583465,0.0218542030852271,0.01480348605097121,0.025471039776692253,0.2517633898202597
08/01/1959,0.17000977403025574,0.19124582646825503,0.12788546907369042,0.21032368821716832,0.04219545863687658,0.16916203447315953,0.1830466072401607,0.17414068324029372,0.25551206125864845,0.13206742572982086,0.31276339492298544,0.04284837475625633,0.14652688816687412,0.05839602305221944,0.244684554733056,0.1528364607289348,0.13672985176039099,0.3011850256097746,0.8642281891922949,0.43753516803928594,0.44023709618283297,0.36363636363636365,0.30232558139534876,0.40362811791383224,0.24882101953739053,0.09684487291849256,0.11541774332472007,0.070509977827051,0.43137254901960786,0.3808126249642959,0.7569759122346769,0.5646537018082566,0.3989120580235721,0.7774196848782484,0.7162809581810798,0.8814333148865523,0.2838030267907408,0.4122005988023952,0.4427842565597668,0.3520900631289617,0.2931219454046966,0.35567929699395306,0.9582309582309582,0.2727272727272727,0.9563106796116504,0.5726907630522089,0.5780051150895141,0.590443686006826,0.397295012679628,0.5803432137285492,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.04682840533987867,0.28815794575918074,0.038466497955756115,0.05053795097942868,0.454657836,0.0476992734547752,0.02512958524069539,0.20743294547394778,0.008122799718598644,0.004439642755265354,0.11057978472463233,0.018301026225769672,0.005323960406275037,0.01967864715027034,0.019989370517137277,0.026672288766749853,0.02171518140346467,0.37587149013926474,0.17336186206750265,0.18024172359432475,0.2149220489977728,0.20687538367096378,0.2474160206718346,0.25992779783393505,0.2580013063357283,0.21029731689630166,0.18013343217197925,0.20355731225296445,0.6499999999999999,0.8152173913043478,0.8553259141494436,0.8770370370370371,0.7793030623020063,0.7181467181467182,0.6,0.43822843822843816,0.6414584983082572,0.8375355450236968,0.9912432774898009,0.43932529627070044,0.0016781007847588847,0.13754457463066735,0.12819299905392623,0.12537917087967643,0.08305312710154673,0.00038165025570567265,0.08351787409047769,0.09995299880556596,0.3036405886909373,0.11012962118175074,0.03599529292323312,0.14845670284732343,0.26192400970088925,0.06183808373018694,0.1008308810801454,0.1123088719498444,0.10706541787002796,0.10949294109667355,0.37839920902459334,0.1292430736191208,0.06040408842405515,0.0020429009193054237,0.003571428571428545,0.0017055144968732144,0.7895454545454546,0.021700468018720748,0.022397031312294906,0.01510868943199631,0.024877878576413118,0.2517633898202597
09/01/1959,0.17007542050212257,0.19112378063132568,0.1296333974548683,0.21349949601194484,0.041643783812659006,0.16889841503732478,0.18194111943974672,0.1733451000563453,0.25442499279622094,0.12664865940911735,0.3148674555430686,0.04214978584866638,0.1462845293044665,0.0579868901500154,0.24507530842001451,0.15234174116601593,0.14051529520066044,0.29878397003625196,0.8595571739186215,0.43825771139188713,0.43973465868198425,0.3977272727272727,0.30232558139534876,0.40236835474930716,0.2852009880979115,0.09750219106047327,0.12747631352282515,0.06518847006651886,0.40120663650075417,0.38149100257069407,0.7570951585976629,0.5522859092459912,0.3945084833570781,0.7800798035604666,0.7200974421437271,0.8821250691754289,0.284564691856807,0.411751497005988,0.43975284919162466,0.35180106991709115,0.29383716771963286,0.3582024622612781,0.9582309582309582,0.24242424242424243,0.9563106796116504,0.6168674698795181,0.6086956521739132,0.6109215017064846,0.4699915469146238,0.5803432137285492,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.04810500041686537,0.28815794575918074,0.03904819890238523,0.05032213023677503,0.4408830026666668,0.04738338422659788,0.025155545556026688,0.2071456422253689,0.008104466586522361,0.0044505734935238895,0.11060970332713754,0.018415051311288483,0.005375649342258289,0.01994860964920354,0.02062043372160304,0.025520085115980327,0.020779883328034543,0.40253305902151154,0.16037699789385965,0.19390436153441934,0.25167037861915365,0.24739103744628607,0.3010335917312661,0.2948255114320097,0.27955584585238413,0.22842639593908626,0.1868050407709414,0.20948616600790512,0.73,0.8773291925465838,0.9459459459459459,0.9244444444444444,0.7866948257655755,0.7171814671814672,0.5858333333333333,0.42501942501942497,0.6414584983082572,0.8400710900473933,0.9919670682201395,0.4378407433003148,0.0009624401559646667,0.13958227203260315,0.130558183538316,0.12537917087967643,0.08372562205783456,0.00038165025570567265,0.08509965200885795,0.1002548413386285,0.3044151820294345,0.11059041457581664,0.03622603198043333,0.1495442977399778,0.2627324171382377,0.06219347501599261,0.1008308810801454,0.1127599115962293,0.10751527256696086,0.10992897493289923,0.37912323178849194,0.12971516907497063,0.06074637508913715,0.0020429009193054237,0.004017857142857129,0.002274019329164309,0.7895454545454546,0.021708268330733232,0.022654644708191493,0.0153173946851973,0.024738311235170972,0.2517633898202597
10/01/1959,0.1703744766517382,0.1914986357018943,0.12843111867416396,0.21383464352035497,0.04194847450459293,0.16731374745848243,0.1813878526030211,0.17228568594507204,0.25297695518885344,0.13071297810634952,0.3102389353473921,0.041452149995520646,0.14434110278749135,0.056350358541199255,0.2395330493440846,0.15060765138830035,0.14098836147377494,0.29678294190336446,0.8495703268371972,0.44002250754514305,0.44069200581197976,0.4204545454545454,0.2816537467700258,0.4396573444192492,0.28901863911969455,0.09618755477651184,0.1237438989376974,0.06533628972653363,0.46153846153846156,0.38099114538703227,0.7520470625645919,0.5549300580006824,0.38997539178862844,0.7751688152240639,0.714413317092976,0.8785279468732705,0.28503659303904366,0.4118637724550898,0.4404817121653856,0.35243043291183146,0.2946715937537251,0.3593335363466307,0.9484029484029484,0.24242424242424243,0.9490291262135923,0.542570281124498,0.6393861892583121,0.5136518771331058,0.3710904480135249,0.5444617784711389,0.5596273291925465,0.39573459715639814,0.5417495029821073,0.4890909090909091,0.4602649006622517,0.608762741115342,0.04901461363249815,0.28815794575918074,0.03955708609574865,0.05048261232484437,0.454657836,0.04720789021094381,0.02513823867913916,0.2062837324796323,0.008092977823754557,0.0044452844266245975,0.11061096305776935,0.018472063854047892,0.005427338278241541,0.02023400933426821,0.021209315148276932,0.02549557014468736,0.02071703721229418,0.40535716927742654,0.15649143242426186,0.20546505517603783,0.2572383073496659,0.2480049109883364,0.29005167958656325,0.282791817087846,0.2677988242978446,0.21754894851341555,0.1905114899925871,0.21607378129117263,0.706,0.84472049689441,0.8839427662957074,0.8622222222222222,0.7444561774023231,0.6814671814671815,0.5716666666666667,0.4156954156954156,0.6414584983082572,0.8433175355450238,0.992329382607345,0.4385062325629014,0.0,0.1380539989811513,0.12866603595080417,0.12537917087967643,0.08305312710154673,0.00038165025570567265,0.08604871875988612,0.10068604495728928,0.3044151820294345,0.11105120796988255,0.03622603198043333,0.1495442977399778,0.2627324171382377,0.06254886630179829,0.10126363164272112,0.1127599115962293,0.10751527256696086,0.11033593984670988,0.37881960933911507,0.1301687509835322,0.061136201568813886,0.0020429009193054237,0.004910714285714268,0.0017055144968732144,0.7895454545454546,0.021700468018720748,0.02287852301653019,0.015482339159501307,0.024494068387997208,0.2517633898202597
